IKResults,,,,,,,,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,,,,,,,,
nRows=577,,,,,,,,,,,,,,,,,,,,,,,,,
nColumns=26,,,,,,,,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Units are S.I. units (second, meters, Newtons, ...)",,,,,,,,,,,,,,,,,,,,,,,,,
"If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,,,,,,,,
time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_ext,lumbar_bend,lumbar_rota
15.6,-1.14503465,2.22703532,85.43468561,0.40426719,0.95676016,1.10170318,-7.68884863,0.73499048,1.99874383,11.77425637,0.20549954,1.44214668,-0.59544212,-7.36182603,24.51132886,-3.98532183,-10.76276248,13.91855349,0.24292459,-11.12218528,2.6626395,-7.36182603,-15.53967847,-3.8651385,4.8496902
15.604,-1.11748533,2.23602012,85.20409398,0.40415326,0.95606769,1.09664198,-8.00079056,0.69955878,2.23377692,11.83275393,0.20652052,1.58264893,-0.79898143,-7.35547146,24.47946537,-4.05788146,-11.02769631,12.85564678,0.22437336,-11.26783328,2.67272317,-7.35547146,-15.52117409,-3.90959379,5.08906157
15.608,-1.10004111,2.32921883,84.990259,0.40395764,0.95544872,1.09147425,-8.41773594,0.61771532,2.31270253,11.88330001,0.20740271,1.79858171,-0.6139625,-7.34993395,24.34529742,-4.11425289,-11.35294023,11.81653588,0.20623746,-11.28350061,2.91195482,-7.34993395,-15.59778002,-3.95948035,5.2750646
15.612,-1.08322249,2.35583133,84.82397251,0.403726,0.95473054,1.08629462,-8.76909331,0.55158539,2.35755897,11.92791582,0.2081814,2.05529813,-0.45249708,-7.34417577,24.29116598,-4.13834544,-11.53041503,10.79513273,0.18841061,-11.37989861,2.97271499,-7.34417577,-15.58021809,-4.00005631,5.44949146
15.616,-1.06692615,2.4115547,84.61704876,0.4035055,0.95402434,1.08109358,-9.1360964,0.47101985,2.43700785,12.00033578,0.20944537,2.29290737,-0.3124073,-7.33633284,24.18625448,-4.18437868,-11.77386545,9.78876042,0.1708461,-11.4191177,3.174846,-7.33633284,-15.6092878,-4.0452124,5.65021135
15.62,-1.05048186,2.46014599,84.43194129,0.40326787,0.95329995,1.07588492,-9.49894982,0.39191232,2.49454216,12.06828292,0.21063127,2.51517066,-0.17575815,-7.33146587,24.09308526,-4.21717781,-11.95324324,8.81025379,0.15376794,-11.46234542,3.33359529,-7.33146587,-15.62418764,-4.09129669,5.83249117
15.624,-1.04133653,2.50824554,84.25217481,0.40299955,0.95255296,1.07064421,-9.85346264,0.29770219,2.4935112,12.15640742,0.21216933,2.79144262,0.09484403,-7.33199599,23.99681701,-4.2391876,-12.12549724,7.86014692,0.13718544,-11.47607618,3.48995127,-7.33199599,-15.63906836,-4.14180723,6.01098714
15.628,-0.99453644,2.52580547,84.04421442,0.40274746,0.9517692,1.06544386,-10.18466923,0.26086777,2.67122348,12.21381861,0.21317135,2.86479603,-0.09440188,-7.32890031,23.93773031,-4.31169916,-12.24193131,6.95784124,0.12143724,-11.50570049,3.56457249,-7.32890031,-15.62435391,-4.1492684,6.2206892
15.632,-0.96543667,2.51636485,83.90383373,0.40240438,0.95092138,1.06015478,-10.48851722,0.19667373,2.64438049,12.28757842,0.2144587,3.05561961,0.04821115,-7.32151479,23.91917054,-4.33994988,-12.27736973,6.10245356,0.10650791,-11.46609626,3.63035595,-7.32151479,-15.5725867,-4.15962843,6.35809979
15.636,-0.93817462,2.58143308,83.73813031,0.40211209,0.95014866,1.05489494,-10.8721738,0.12412914,2.66412656,12.35334023,0.21560646,3.25570381,0.18764286,-7.33697675,23.82313971,-4.3897098,-12.42302447,5.30410237,0.09257405,-11.42964667,3.94745782,-7.33697675,-15.61191846,-4.1952826,6.54346886
15.64,-0.9074622,2.59744206,83.59748212,0.40170903,0.94929995,1.04961988,-11.18701691,0.04836168,2.62578113,12.46424985,0.2175422,3.45652652,0.37917647,-7.35765638,23.77446774,-4.41024461,-12.41725905,4.51507367,0.0788029,-11.45038387,3.89999452,-7.35765638,-15.59893761,-4.20214187,6.67425992
15.644,-0.85981277,2.6241587,83.44853519,0.40134453,0.94845979,1.04432685,-11.5253181,-0.00482509,2.61303378,12.54604096,0.21896972,3.59826129,0.50936185,-7.37588709,23.73234456,-4.4721442,-12.47764932,3.82325893,0.06672846,-11.39111552,4.05270398,-7.37588709,-15.59925915,-4.19627499,6.85257746
15.648,-0.82036771,2.63560192,83.30317225,0.40096684,0.94759455,1.03901383,-11.83876827,-0.06768358,2.60781983,12.64976458,0.22078004,3.76590013,0.63975024,-7.38455124,23.71163259,-4.52286214,-12.51676142,3.18260782,0.05554699,-11.32620889,4.13581055,-7.38455124,-15.57885383,-4.20255042,7.0020592
15.652,-0.76214439,2.62407127,83.17833297,0.40055972,0.94669471,1.033699,-12.1380473,-0.09812611,2.62101531,12.73294661,0.22223184,3.83575806,0.62548052,-7.39689092,23.73641754,-4.59140722,-12.51273945,2.62834386,0.04587325,-11.24091296,4.19860678,-7.39689092,-15.53679118,-4.17781253,7.12454232
15.656,-0.71407305,2.63221292,83.03925213,0.4001464,0.94580798,1.0283597,-12.44103197,-0.15691882,2.59061507,12.85191764,0.22430828,3.97610371,0.79849429,-7.4072757,23.74729452,-4.66091365,-12.56459635,2.15016494,0.03752746,-11.12179654,4.33039254,-7.4072757,-15.51687499,-4.17186265,7.28433293
15.66,-0.65844548,2.61577558,82.92497608,0.39970098,0.94488915,1.0230036,-12.7245135,-0.19640111,2.55196326,12.95865741,0.22617124,4.0496956,0.84631971,-7.41722522,23.80748009,-4.73290833,-12.55299706,1.76726446,0.03084458,-10.98250789,4.38180749,-7.41722522,-15.46892134,-4.15284235,7.44892086
15.664,-0.59216079,2.59680825,82.78325663,0.39928705,0.94396882,1.01764996,-12.99130736,-0.22839141,2.57616924,13.09288001,0.22851386,4.1456247,0.89495888,-7.42566794,23.87641276,-4.83063111,-12.60115879,1.46293271,0.02553299,-10.82309247,4.45316696,-7.42566794,-15.42573571,-4.11945643,7.5675396
15.668,-0.54379481,2.59361924,82.66190285,0.39881507,0.9430781,1.01223729,-13.27835161,-0.28385453,2.5795845,13.22434508,0.23080836,4.18999737,0.96870643,-7.43250369,23.93628949,-4.9011812,-12.63228745,1.23908256,0.02162607,-10.57431543,4.49777889,-7.43250369,-15.39380286,-4.10322331,7.66647291
15.672,-0.47887903,2.57931729,82.54685542,0.39835649,0.942159,1.00678587,-13.55842629,-0.32833571,2.48646807,13.34717316,0.23295212,4.24382997,1.0924288,-7.43859931,24.01831818,-4.99306477,-12.61702378,1.08484452,0.01893411,-10.44469997,4.52876179,-7.43859931,-15.34004167,-4.07773653,7.84670778
15.676,-0.41359236,2.55983184,82.43064025,0.39785536,0.94124229,1.00136812,-13.816597,-0.36595227,2.4687679,13.49726388,0.23557169,4.26294478,1.12416928,-7.44490474,24.10673207,-5.08049299,-12.59026047,0.98561619,0.01720225,-10.29842541,4.48261957,-7.44490474,-15.30120327,-4.043858,7.94668773
15.68,-0.38123261,2.57036018,82.26984727,0.39740305,0.94038179,0.99585602,-14.09716165,-0.46275739,2.4621014,13.65663933,0.23835332,4.28129892,1.22916962,-7.45089707,24.13748126,-5.15216782,-12.62773327,0.92368661,0.01612137,-10.10272041,4.472867,-7.45089707,-15.26865563,-4.06494059,8.11134269
15.684,-0.33388851,2.58221052,82.12813411,0.39689959,0.93953578,0.99030611,-14.38199392,-0.54139111,2.42796232,13.8165465,0.24114423,4.26269522,1.3018335,-7.45656726,24.15855747,-5.22513166,-12.5917435,0.89920354,0.01569406,-9.9426643,4.37502907,-7.45656726,-15.24192308,-4.05906149,8.2730882
15.688,-0.34533907,2.60728273,81.98651541,0.39639782,0.93870639,0.98467828,-14.6585926,-0.70043326,2.30950281,14.02053682,0.24470453,4.31834275,1.60068812,-7.45994358,24.14486503,-5.2280613,-12.57619811,0.88744035,0.01548876,-9.84376735,4.22492143,-7.45994358,-15.21567357,-4.1313601,8.39020286
